"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"Global",2020-08-09,1,0,0,1,1,1,0
"Global",2020-08-10,8,1,16,25,0.32,8.02,0.237401760649739
"Global",2020-08-11,24,63,173,260,0.0923076923076923,23.96,0.428273489511296
"Global",2020-08-12,20,26,89,135,0.148148148148148,19.79,0.356836549742768
"Global",2020-08-13,14,10,47,71,0.197183098591549,13.94,0.348972517803076
"Global",2020-08-14,8,12,37,57,0.140350877192982,7.32,0.279566764400878
"Global",2020-08-15,5,9,18,32,0.15625,4.73,0.189019265759559
"Global",2020-08-16,6,4,23,33,0.181818181818182,6.06,0.230423413512927
"Global",2020-08-17,8,6,20,34,0.235294117647059,7.58,0.260992666021809
"Global",2020-08-18,12,6,25,43,0.27906976744186,11.58,0.282191997108924
"Global",2020-08-19,22,4,42,68,0.323529411764706,21.88,0.40409019895178
"Global",2020-08-20,18,11,52,81,0.222222222222222,17.46,0.376968235405917
"Global",2020-08-21,13,5,28,46,0.282608695652174,12.42,0.325725297907561
"Global",2020-08-22,8,6,23,37,0.216216216216216,8.25,0.291764053005614
"Global",2020-08-23,7,7,16,30,0.233333333333333,6.64,0.241007984276141
"Global",2020-08-24,9,1,19,29,0.310344827586207,9.29,0.248346044010686
"Global",2020-08-25,8,4,26,38,0.210526315789474,7.75,0.219905856808285
"Global",2020-08-26,10,6,20,36,0.277777777777778,10.3,0.260341655863555
"Global",2020-08-27,6,4,16,26,0.230769230769231,5.92,0.236421127429317
"Global",2020-08-28,5,5,16,26,0.192307692307692,5.03,0.200229666113489
"Global",2020-08-29,1,3,10,14,0.0714285714285714,1.03,0.0915136463853751
"Global",2020-08-30,4,3,8,15,0.266666666666667,4.08,0.157428835934966
"Global",2020-08-31,7,8,24,39,0.179487179487179,7.25,0.268318746074421
"Global",2020-09-01,10,4,14,28,0.357142857142857,9.81,0.276228203125641
"Global",2020-09-02,18,5,16,39,0.461538461538462,17.9,0.315748269507482
"Global",2020-09-03,17,8,27,52,0.326923076923077,17.31,0.343392169127634
"Global",2020-09-04,16,7,20,43,0.372093023255814,15.55,0.329178653406605
"Global",2020-09-05,10,3,11,24,0.416666666666667,10.16,0.248112063309296
"Global",2020-09-06,7,1,10,18,0.388888888888889,6.92,0.218664449360525
"Global",2020-09-07,8,3,24,35,0.228571428571429,8.1,0.256826003277698
"Global",2020-09-08,21,2,27,50,0.42,20.93,0.367974252502876
"Global",2020-09-09,31,6,60,97,0.319587628865979,30.9,0.450924975282289
"Global",2020-09-10,15,5,31,51,0.294117647058824,15.17,0.299175635047476
"Global",2020-09-11,8,5,19,32,0.25,8.17,0.251883811598631
"Global",2020-09-12,11,3,15,29,0.379310344827586,10.84,0.247296493213219
"Global",2020-09-13,3,7,17,27,0.111111111111111,3.09,0.178147028143507
"Global",2020-09-14,7,4,30,41,0.170731707317073,6.93,0.223496096275763
