"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"Global",2020-08-09,1,0,0,1,1,1,0
"Global",2020-08-10,8,1,16,25,0.32,8.15,0.233711814252537
"Global",2020-08-11,24,63,173,260,0.0923076923076923,24.23,0.456348041908295
"Global",2020-08-12,20,26,89,135,0.148148148148148,20.19,0.435935079959613
"Global",2020-08-13,14,10,47,71,0.197183098591549,13.54,0.306633726821174
"Global",2020-08-14,8,12,37,57,0.140350877192982,8.7,0.286567988654023
"Global",2020-08-15,5,9,18,32,0.15625,5.13,0.220034432567159
"Global",2020-08-16,6,4,23,33,0.181818181818182,6.19,0.201356510807186
"Global",2020-08-17,8,6,20,34,0.235294117647059,7.76,0.216547752915908
"Global",2020-08-18,12,6,25,43,0.27906976744186,11.96,0.290565453604318
"Global",2020-08-19,22,4,42,68,0.323529411764706,21.36,0.395305788809962
"Global",2020-08-20,18,11,52,81,0.222222222222222,17.97,0.39834379344704
"Global",2020-08-21,13,5,28,46,0.282608695652174,13,0.261696099483444
"Global",2020-08-22,8,6,23,37,0.216216216216216,7.43,0.258298629144991
"Global",2020-08-23,7,7,16,30,0.233333333333333,6.87,0.242318348084048
"Global",2020-08-24,9,1,19,29,0.310344827586207,9.03,0.243482727074917
"Global",2020-08-25,8,4,26,38,0.210526315789474,8.34,0.259455529363264
"Global",2020-08-26,10,6,20,36,0.277777777777778,9.66,0.253149853811628
"Global",2020-08-27,6,4,16,26,0.230769230769231,5.93,0.200128746439674
"Global",2020-08-28,5,5,16,26,0.192307692307692,5.09,0.182072801512211
"Global",2020-08-29,1,3,10,14,0.0714285714285714,1.07,0.094553709818304
"Global",2020-08-30,4,3,8,15,0.266666666666667,4.06,0.168066845768178
"Global",2020-08-31,7,8,24,39,0.179487179487179,6.97,0.219942600409169
"Global",2020-09-01,10,4,14,28,0.357142857142857,9.84,0.245245702399562
"Global",2020-09-02,18,5,16,39,0.461538461538462,17.87,0.283433137502204
"Global",2020-09-03,17,8,27,52,0.326923076923077,17.33,0.333349999583354
"Global",2020-09-04,16,7,20,43,0.372093023255814,15.98,0.294041844064082
"Global",2020-09-05,10,3,11,24,0.416666666666667,10.04,0.281740621454872
"Global",2020-09-06,7,1,10,18,0.388888888888889,6.67,0.217448472939771
"Global",2020-09-07,8,3,24,35,0.228571428571429,8.07,0.247922682636455
"Global",2020-09-08,21,2,27,50,0.42,21.08,0.369186930834489
"Global",2020-09-09,31,6,60,97,0.319587628865979,30.68,0.503899941967799
"Global",2020-09-10,15,5,31,51,0.294117647058824,14.56,0.354286877994644
"Global",2020-09-11,8,5,19,32,0.25,7.93,0.238367766107735
