"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"India",2020-08-09,0,0,0,0,0,0,0
"India",2020-08-10,2,0,6,8,0.25,1.95,0.117529278535739
"India",2020-08-11,3,34,68,105,0.0285714285714286,3.06,0.144823124444052
"India",2020-08-12,4,8,21,33,0.121212121212121,3.95,0.176025135946116
"India",2020-08-13,2,4,18,24,0.0833333333333333,2.1,0.129099444873581
"India",2020-08-14,2,4,16,22,0.0909090909090909,2.11,0.153013500427679
"India",2020-08-15,0,4,8,12,0,0,0
"India",2020-08-16,1,1,4,6,0.166666666666667,0.81,0.0825049738323133
"India",2020-08-17,1,0,4,5,0.2,0.89,0.0930895083543606
"India",2020-08-18,3,1,9,13,0.230769230769231,3.06,0.161945245766162
"India",2020-08-19,2,1,5,8,0.25,2.08,0.127667497425891
"India",2020-08-20,3,2,13,18,0.166666666666667,2.9,0.144599761096244
"India",2020-08-21,2,2,9,13,0.153846153846154,2.03,0.139591756869303
"India",2020-08-22,3,4,9,16,0.1875,2.88,0.139465067491846
"India",2020-08-23,0,2,9,11,0,0,0
"India",2020-08-24,2,0,5,7,0.285714285714286,1.81,0.116943394750441
"India",2020-08-25,1,1,9,11,0.0909090909090909,1.1,0.098984745279158
"India",2020-08-26,1,3,4,8,0.125,0.88,0.0987599886266465
"India",2020-08-27,1,0,6,7,0.142857142857143,1.01,0.0904478196575687
"India",2020-08-28,0,1,2,3,0,0,0
"India",2020-08-29,1,0,0,1,1,1,0
"India",2020-08-30,0,0,2,2,0,0,0
"India",2020-08-31,0,0,5,5,0,0,0
"India",2020-09-01,0,0,2,2,0,0,0
"India",2020-09-02,5,3,4,12,0.416666666666667,4.78,0.168522995463527
"India",2020-09-03,0,0,3,3,0,0,0
"India",2020-09-04,3,2,4,9,0.333333333333333,2.99,0.135955280823653
"India",2020-09-05,1,0,2,3,0.333333333333333,0.99,0.0822597511950204
"India",2020-09-06,1,0,3,4,0.25,1.13,0.0928287224794768
"India",2020-09-07,2,0,4,6,0.333333333333333,1.87,0.108855385486869
"India",2020-09-08,0,2,5,7,0,0,0
"India",2020-09-09,4,2,18,24,0.166666666666667,4.23,0.192198865866592
"India",2020-09-10,1,1,4,6,0.166666666666667,0.98,0.0778239401249105
"India",2020-09-11,2,1,7,10,0.2,2.07,0.158436170750306
"India",2020-09-12,1,1,8,10,0.1,1.07,0.111241842284041
"India",2020-09-13,1,2,7,10,0.1,0.86,0.0876402195387944
"India",2020-09-14,1,0,8,9,0.111111111111111,1.07,0.094553709818304
"India",2020-09-15,1,3,6,10,0.1,1.07,0.098734415724634
"India",2020-09-16,0,0,7,7,0,0,0
"India",2020-09-17,0,0,2,2,0,0,0
"India",2020-09-18,1,0,7,8,0.125,1.06,0.0885574629403092
"India",2020-09-19,0,0,3,3,0,0,0
"India",2020-09-20,1,0,1,2,0.5,0.95,0.079613967608604
"India",2020-09-21,0,0,6,6,0,0,0
"India",2020-09-22,0,0,0,0,0,0,0
"India",2020-09-23,0,1,8,9,0,0,0
"India",2020-09-24,0,0,1,1,0,0,0
"India",2020-09-25,0,0,0,0,0,0,0
"India",2020-09-26,0,0,0,0,0,0,0
"India",2020-09-27,2,0,3,5,0.4,1.95,0.0998736575616788
"India",2020-09-28,1,0,2,3,0.333333333333333,0.96,0.0737453987607623
"India",2020-09-29,1,2,5,8,0.125,0.87,0.0883690608136745
"India",2020-09-30,0,0,3,3,0,0,0
"India",2020-10-01,1,0,0,1,1,1,0
"India",2020-10-02,0,0,0,0,0,0,0
"India",2020-10-03,0,0,0,0,0,0,0
"India",2020-10-04,0,0,0,0,0,0,0
"India",2020-10-05,0,0,0,0,0,0,0
"India",2020-10-06,0,0,0,0,0,0,0
"India",2020-10-07,0,0,0,0,0,0,0
"India",2020-10-08,0,0,0,0,0,0,0
"India",2020-10-09,0,0,1,1,0,0,0
"India",2020-10-10,0,1,5,6,0,0,0
"India",2020-10-11,2,1,0,3,0.666666666666667,2.05,0.0743660072230789
"India",2020-10-12,1,0,4,5,0.2,1.1,0.0904534033733291
"India",2020-10-13,7,1,6,14,0.5,7.2,0.208409077139993
"India",2020-10-14,1,1,5,7,0.142857142857143,1.13,0.0981186665587784
"India",2020-10-15,0,0,13,13,0,0,0
"India",2020-10-16,1,0,3,4,0.25,0.94,0.0874094047594653
"India",2020-10-17,1,0,5,6,0.166666666666667,1.06,0.0789066703534158
"India",2020-10-18,0,1,2,3,0,0,0
"India",2020-10-19,0,1,4,5,0,0,0
"India",2020-10-20,0,2,11,13,0,0,0
"India",2020-10-21,0,0,3,3,0,0,0
"India",2020-10-22,10,0,27,37,0.27027027027027,10.51,0.276885638063184
"India",2020-10-23,0,0,0,0,0,0,0
"India",2020-10-24,0,0,0,0,0,0,0
"India",2020-10-25,0,0,0,0,0,0,0
"India",2020-10-26,0,0,0,0,0,0,0
"India",2020-10-27,0,0,0,0,0,0,0
"India",2020-10-28,0,0,0,0,0,0,0
"India",2020-10-29,0,0,0,0,0,0,0
"India",2020-10-30,0,0,0,0,0,0,0
"India",2020-10-31,0,0,0,0,0,0,0
"India",2020-11-01,0,0,0,0,0,0,0
"India",2020-11-02,0,0,1,1,0,0,0
"India",2020-11-03,1,0,4,5,0.2,1.05,0.101876336206147
"India",2020-11-04,0,0,2,2,0,0,0
"India",2020-11-05,0,1,10,11,0,0,0
"India",2020-11-06,0,0,10,10,0,0,0
"India",2020-11-07,0,0,1,1,0,0,0
"India",2020-11-08,0,0,2,2,0,0,0
"India",2020-11-09,1,12,19,32,0.03125,1.05,0.0868936421753919
"India",2020-11-10,0,0,0,0,0,0,0
"India",2020-11-11,0,0,0,0,0,0,0
"India",2020-11-12,0,0,0,0,0,0,0
"India",2020-11-13,0,0,0,0,0,0,0
"India",2020-11-14,0,1,0,1,0,0,0
"India",2020-11-15,1,1,4,6,0.166666666666667,0.91,0.0911154224158578
"India",2020-11-16,3,14,18,35,0.0857142857142857,3.34,0.179347864681062
"India",2020-11-17,11,21,57,89,0.123595505617978,10.71,0.299594001369463
"India",2020-11-18,6,10,37,53,0.113207547169811,6.33,0.220676187655079
"India",2020-11-19,0,2,17,19,0,0,0
"India",2020-11-20,0,2,20,22,0,0,0
"India",2020-11-21,1,1,6,8,0.125,1.07,0.10372360318937
"India",2020-11-22,0,0,0,0,0,0,0
"India",2020-11-23,0,0,0,0,0,0,0
