"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"India",2020-08-09,0,0,0,0,0,0,0
"India",2020-08-10,2,0,6,8,0.25,2.06,0.112653935088434
"India",2020-08-11,3,34,68,105,0.0285714285714286,3.02,0.172316363973156
"India",2020-08-12,4,8,21,33,0.121212121212121,3.81,0.18350955717825
"India",2020-08-13,2,4,18,24,0.0833333333333333,1.88,0.139465067491846
"India",2020-08-14,2,4,16,22,0.0909090909090909,2.08,0.150205246784579
"India",2020-08-15,0,4,8,12,0,0,0
"India",2020-08-16,1,1,4,6,0.166666666666667,1.07,0.0956160250294073
"India",2020-08-17,1,0,4,5,0.2,1.03,0.0947671255278331
"India",2020-08-18,3,1,9,13,0.230769230769231,3.09,0.152484475116371
"India",2020-08-19,2,1,5,8,0.25,2.26,0.131517944391515
"India",2020-08-20,3,2,13,18,0.166666666666667,3.04,0.134780030292535
"India",2020-08-21,2,2,9,13,0.153846153846154,1.86,0.126347284749758
"India",2020-08-22,3,4,9,16,0.1875,3.06,0.144823124444052
"India",2020-08-23,0,2,9,11,0,0,0
"India",2020-08-24,2,0,5,7,0.285714285714286,2.17,0.135627981976248
"India",2020-08-25,1,1,9,11,0.0909090909090909,0.78,0.0785988408170106
"India",2020-08-26,1,3,4,8,0.125,0.92,0.0849004170076968
"India",2020-08-27,1,0,6,7,0.142857142857143,1.04,0.0994124151342692
"India",2020-08-28,0,1,2,3,0,0,0
"India",2020-08-29,1,0,0,1,1,1,0
"India",2020-08-30,0,0,2,2,0,0,0
"India",2020-08-31,0,0,5,5,0,0,0
"India",2020-09-01,0,0,2,2,0,0,0
"India",2020-09-02,5,3,4,12,0.416666666666667,5.13,0.174457311498697
"India",2020-09-03,0,0,3,3,0,0,0
"India",2020-09-04,3,2,4,9,0.333333333333333,3.14,0.137083621165766
"India",2020-09-05,1,0,2,3,0.333333333333333,0.94,0.0814266727203257
"India",2020-09-06,1,0,3,4,0.25,1.07,0.0879106525301845
"India",2020-09-07,2,0,4,6,0.333333333333333,2.04,0.119696586113693
"India",2020-09-08,0,2,5,7,0,0,0
"India",2020-09-09,4,2,18,24,0.166666666666667,3.8,0.163916707106649
"India",2020-09-10,1,1,4,6,0.166666666666667,0.8,0.0921132372943677
"India",2020-09-11,2,1,7,10,0.2,2.09,0.123986802816781
"India",2020-09-12,1,1,8,10,0.1,1,0.0898933149950989
"India",2020-09-13,1,2,7,10,0.1,0.91,0.0922173541370625
"India",2020-09-14,1,0,8,9,0.111111111111111,1.08,0.0950066451689703
"India",2020-09-15,1,3,6,10,0.1,0.92,0.0860819435776227
"India",2020-09-16,0,0,7,7,0,0,0
"India",2020-09-17,0,0,2,2,0,0,0
"India",2020-09-18,1,0,7,8,0.125,0.89,0.0764027076573451
"India",2020-09-19,0,0,3,3,0,0,0
"India",2020-09-20,1,0,1,2,0.5,0.88,0.0685786431991061
"India",2020-09-21,0,0,6,6,0,0,0
"India",2020-09-22,0,0,0,0,0,0,0
"India",2020-09-23,0,1,8,9,0,0,0
"India",2020-09-24,0,0,1,1,0,0,0
"India",2020-09-25,0,0,0,0,0,0,0
"India",2020-09-26,0,0,0,0,0,0,0
"India",2020-09-27,2,0,3,5,0.4,2.13,0.105078133507472
"India",2020-09-28,1,0,2,3,0.333333333333333,1.08,0.0837022138659463
"India",2020-09-29,1,2,5,8,0.125,0.98,0.0942594742444943
"India",2020-09-30,0,0,3,3,0,0,0
"India",2020-10-01,1,0,0,1,1,1,0
"India",2020-10-02,0,0,0,0,0,0,0
"India",2020-10-03,0,0,0,0,0,0,0
"India",2020-10-04,0,0,0,0,0,0,0
"India",2020-10-05,0,0,0,0,0,0,0
"India",2020-10-06,0,0,0,0,0,0,0
"India",2020-10-07,0,0,0,0,0,0,0
"India",2020-10-08,0,0,0,0,0,0,0
"India",2020-10-09,0,0,1,1,0,0,0
"India",2020-10-10,0,1,5,6,0,0,0
"India",2020-10-11,2,1,0,3,0.666666666666667,1.92,0.0787272493993014
