"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"United States of America",2020-08-09,1,0,0,1,1,1,0
"United States of America",2020-08-10,1,0,3,4,0.25,1.01,0.0870330251958845
"United States of America",2020-08-11,1,2,12,15,0.0666666666666667,0.94,0.086246065640027
"United States of America",2020-08-12,3,3,5,11,0.272727272727273,3.12,0.132023872956004
"United States of America",2020-08-13,1,0,6,7,0.142857142857143,1.11,0.0874960316560446
"United States of America",2020-08-14,1,2,3,6,0.166666666666667,1.15,0.0821122660899347
"United States of America",2020-08-15,0,2,1,3,0,0,0
"United States of America",2020-08-16,1,0,3,4,0.25,1.05,0.0857233039988826
"United States of America",2020-08-17,2,0,5,7,0.285714285714286,1.96,0.124657105450889
"United States of America",2020-08-18,2,2,2,6,0.333333333333333,2.18,0.109526068111476
"United States of America",2020-08-19,6,0,5,11,0.545454545454545,6.04,0.166314780042563
"United States of America",2020-08-20,3,1,5,9,0.333333333333333,3.03,0.148020610085559
"United States of America",2020-08-21,4,1,2,7,0.571428571428571,4.03,0.125894777292368
"United States of America",2020-08-22,1,0,6,7,0.142857142857143,1.04,0.0994124151342692
"United States of America",2020-08-23,1,1,2,4,0.25,1.02,0.0875941052396066
"United States of America",2020-08-24,1,0,3,4,0.25,1.09,0.0865675423813071
"United States of America",2020-08-25,2,0,4,6,0.333333333333333,2.01,0.110549591230416
"United States of America",2020-08-26,2,0,4,6,0.333333333333333,1.84,0.119527690042386
"United States of America",2020-08-27,3,2,2,7,0.428571428571429,2.89,0.154981263122972
"United States of America",2020-08-28,2,3,2,7,0.285714285714286,2.06,0.115312487168432
"United States of America",2020-08-29,0,0,3,3,0,0,0
"United States of America",2020-08-30,1,2,1,4,0.25,1.02,0.0898708388564816
"United States of America",2020-08-31,2,1,3,6,0.333333333333333,2.03,0.12098501451574
"United States of America",2020-09-01,5,1,3,9,0.555555555555556,4.92,0.148854209740859
"United States of America",2020-09-02,7,1,2,10,0.7,7.09,0.147774739848777
"United States of America",2020-09-03,7,1,6,14,0.5,7.02,0.184763020481301
"United States of America",2020-09-04,3,1,4,8,0.375,3.19,0.141916891314614
"United States of America",2020-09-05,1,1,1,3,0.333333333333333,1,0.0840874965182522
"United States of America",2020-09-06,1,0,1,2,0.5,0.97,0.0717106982424815
"United States of America",2020-09-07,1,1,6,8,0.125,1.03,0.0999545351192686
"United States of America",2020-09-08,6,0,8,14,0.428571428571429,5.78,0.160542011242345
"United States of America",2020-09-09,3,2,8,13,0.230769230769231,2.93,0.15521571825018
"United States of America",2020-09-10,4,1,5,10,0.4,4.13,0.136814406471621
"United States of America",2020-09-11,1,2,4,7,0.142857142857143,0.92,0.0787272493993014
"United States of America",2020-09-12,1,0,2,3,0.333333333333333,1.02,0.0840634680861233
"United States of America",2020-09-13,0,1,0,1,0,0,0
"United States of America",2020-09-14,2,1,7,10,0.2,1.94,0.119612167888851
"United States of America",2020-09-15,1,0,2,3,0.333333333333333,1.07,0.0819645156038991
"United States of America",2020-09-16,5,3,9,17,0.294117647058824,4.72,0.186991060122287
"United States of America",2020-09-17,2,1,1,4,0.5,1.82,0.0998787143277164
"United States of America",2020-09-18,1,4,10,15,0.0666666666666667,1.02,0.0931816949986868
"United States of America",2020-09-19,0,1,3,4,0,0,0
"United States of America",2020-09-20,8,1,3,12,0.666666666666667,7.87,0.146097380005408
"United States of America",2020-09-21,1,2,2,5,0.2,0.97,0.0858175184018185
"United States of America",2020-09-22,4,1,3,8,0.5,3.79,0.14859272519137
"United States of America",2020-09-23,2,2,6,10,0.2,1.83,0.123136616254574
"United States of America",2020-09-24,3,0,0,3,1,3,0
"United States of America",2020-09-25,0,0,0,0,0,0,0
"United States of America",2020-09-26,0,0,1,1,0,0,0
"United States of America",2020-09-27,1,0,1,2,0.5,0.95,0.0715979233376404
"United States of America",2020-09-28,1,0,2,3,0.333333333333333,0.94,0.0708106024133492
"United States of America",2020-09-29,0,1,1,2,0,0,0
"United States of America",2020-09-30,0,1,8,9,0,0,0
"United States of America",2020-10-01,0,0,0,0,0,0,0
"United States of America",2020-10-02,0,0,0,0,0,0,0
"United States of America",2020-10-03,0,0,0,0,0,0,0
